date,count,uniques
2025-03-06,1,1
2025-03-11,1,1
2025-04-04,1,1
2025-04-13,1,1
2025-04-14,1,1
2025-04-19,2,2
2025-05-04,1,1
2025-05-11,1,1
2025-05-15,1,1
2025-05-23,1,1
2025-05-24,1,1
2025-05-27,1,1
2025-05-28,1,1
2025-05-30,1,1
2025-06-01,1,1
2025-06-08,1,1
2025-06-18,1,1
2025-07-01,2,2
2025-07-03,1,1
2025-07-04,1,1
2025-07-05,1,1
2025-07-07,1,1
2025-07-09,2,2
2025-07-11,1,1
2025-08-01,1,1
2025-08-12,1,1
2025-08-21,1,1
2025-08-31,1,1
2025-09-09,1,1
2025-09-16,1,1
2025-09-21,1,1
2025-09-30,1,1
2025-10-02,1,1
2025-10-06,1,1
2025-10-18,1,1
2025-10-20,1,1
2025-10-28,2,2
2025-11-03,1,1
2025-11-15,1,1
2025-11-21,1,1
2025-12-03,1,1
2025-12-05,1,1
2025-12-10,1,1
2025-12-13,1,1
2025-12-22,2,1
2025-12-24,1,1
2025-12-25,2,2
2025-12-29,1,1
2026-01-04,0,0
