date,count,uniques
2025-11-01,55,38
2025-11-02,59,35
2025-11-03,16,2
2025-11-05,9,8
2025-11-06,45,21
2025-11-07,43,24
2025-11-08,1,1
2025-11-10,1,1
2025-11-11,2,2
2025-11-12,2,1
2025-11-13,1,1
2025-11-15,11,1
2025-11-20,1,1
2025-11-21,2,2
2025-11-23,1,1
2025-12-02,12,2
2025-12-03,49,18
2025-12-05,1,1
2025-12-06,1,1
2025-12-13,1,1
2025-12-19,1,1
2025-12-20,1,1
2025-12-21,1,1
2025-12-23,1,1
2025-12-27,2,2
2025-12-28,1,1
2025-12-29,1,1
2026-01-13,0,0
2026-01-14,1,1
2026-01-24,0,0
2026-01-26,0,0
2026-01-27,0,0
2026-02-06,1,1
2026-02-08,0,0
2026-02-09,0,0
