date,count,uniques
2025-02-15,243,60
2025-02-16,15,7
2025-02-17,35,12
2025-02-18,15,7
2025-02-20,17,10
2025-02-21,17,8
2025-02-24,24,7
2025-02-25,12,5
2025-02-26,16,8
2025-02-27,13,6
2025-02-28,4,3
2025-03-03,3,2
2025-03-04,3,2
2025-03-05,44,15
2025-03-06,3,2
2025-03-07,2,1
2025-03-10,3,2
2025-03-11,4,3
2025-03-12,2,1
2025-03-13,13,6
2025-03-14,2,1
2025-03-15,1,1
2025-03-18,2,1
2025-03-19,2,1
2025-03-20,2,1
2025-03-21,3,2
2025-03-25,14,7
2025-03-26,13,6
2025-03-27,15,7
2025-03-28,2,1
2025-03-29,1,1
2025-03-30,1,1
2025-03-31,3,2
2025-04-01,15,8
2025-04-02,2,1
2025-04-03,13,6
