date,count,uniques
2026-02-07,0,0
2026-02-08,22,20
2026-02-09,6,6
2026-02-10,81,51
2026-02-11,4,4
2026-02-12,12,7
2026-02-13,69,34
2026-02-14,40,22
2026-02-15,5,3
2026-02-16,2,2
2026-02-17,1,1
2026-02-18,10,7
2026-02-19,1,1
2026-02-20,20,12
2026-02-21,2,2
2026-02-22,23,15
2026-02-23,3,3
2026-02-24,1,1
2026-02-25,2,2
2026-02-26,0,0
2026-02-27,0,0
2026-02-28,0,0
2026-03-01,3,3
2026-03-02,0,0
2026-03-03,0,0
2026-03-05,0,0
2026-03-06,0,0
2026-03-07,0,0
2026-03-08,0,0
2026-03-09,0,0
2026-03-10,0,0
2026-03-11,0,0
2026-03-12,1,1
2026-03-13,0,0
2026-03-14,1,1
2026-03-15,0,0
2026-03-16,0,0
2026-03-17,2,2
2026-03-18,0,0
2026-03-19,0,0
2026-03-20,2,2
2026-03-21,0,0
2026-03-22,0,0
2026-03-23,1,1
2026-03-24,1,1
2026-03-26,1,1
2026-03-27,0,0
2026-03-28,1,1
2026-03-29,0,0
2026-03-30,0,0
2026-03-31,0,0
2026-04-01,0,0
2026-04-02,1,1
2026-04-03,1,1
2026-04-04,2,2
2026-04-05,0,0
2026-04-06,1,1
2026-04-07,0,0
2026-04-08,1,1
