date,count,uniques
2026-02-26,0,0
2026-02-27,8,8
2026-02-28,0,0
2026-03-01,0,0
2026-03-02,0,0
2026-03-03,1,1
2026-03-05,0,0
2026-03-06,136,68
2026-03-07,3,3
2026-03-08,53,28
2026-03-09,83,39
2026-03-10,4,3
2026-03-11,0,0
2026-03-12,1,1
2026-03-13,13,10
2026-03-14,1,1
2026-03-15,0,0
2026-03-16,1,1
2026-03-17,4,4
2026-03-18,0,0
2026-03-19,2,2
2026-03-20,0,0
2026-03-21,2,2
2026-03-22,1,1
2026-03-23,13,8
2026-03-24,1,1
2026-03-25,2,2
2026-03-26,0,0
2026-03-27,28,14
2026-03-28,2,2
2026-03-29,15,9
2026-03-30,4,3
2026-03-31,3,3
2026-04-01,32,17
2026-04-02,2,2
2026-04-03,5,5
2026-04-04,1,1
