date,count,uniques
2026-01-10,0,0
2026-01-20,3,3
2026-01-27,1,1
2026-01-28,1,1
2026-01-30,0,0
2026-02-09,0,0
2026-02-10,0,0
2026-02-28,0,0
2026-03-01,0,0
2026-03-02,0,0
2026-03-03,0,0
2026-03-05,0,0
2026-03-06,2,2
2026-03-07,0,0
2026-03-08,0,0
2026-03-09,1,1
2026-03-11,1,1
2026-03-12,0,0
2026-03-13,0,0
2026-03-14,1,1
2026-03-15,0,0
2026-03-16,0,0
2026-03-17,1,1
2026-03-18,0,0
2026-03-19,1,1
2026-03-20,0,0
2026-03-21,0,0
2026-03-22,0,0
2026-03-23,1,1
2026-03-24,1,1
2026-03-25,0,0
2026-03-26,0,0
2026-03-27,0,0
2026-03-28,1,1
2026-03-29,0,0
2026-03-30,0,0
2026-03-31,0,0
2026-04-01,0,0
2026-04-02,1,1
2026-04-03,1,1
2026-04-04,1,1
2026-04-05,0,0
2026-04-06,0,0
2026-04-07,0,0
2026-04-08,1,1
2026-04-09,1,1
2026-04-10,1,1
2026-04-11,0,0
2026-04-17,0,0
2026-04-18,0,0
2026-04-20,0,0
