date,count,uniques
2025-12-31,0,0
2026-01-13,1,1
2026-01-14,3,3
2026-01-15,0,0
2026-01-16,0,0
2026-01-17,0,0
2026-01-20,2,2
2026-01-21,0,0
2026-01-24,0,0
2026-01-26,1,1
2026-01-29,0,0
2026-02-03,0,0
2026-02-05,0,0
2026-02-06,2,2
2026-02-07,0,0
2026-02-09,0,0
2026-02-10,0,0
2026-02-11,0,0
2026-02-15,0,0
2026-02-17,0,0
2026-02-24,0,0
2026-02-25,0,0
2026-02-27,0,0
2026-02-28,0,0
2026-03-01,0,0
2026-03-02,0,0
2026-03-03,0,0
2026-03-05,1,1
2026-03-06,3,3
2026-03-07,1,1
2026-03-08,0,0
2026-03-09,0,0
2026-03-10,0,0
2026-03-11,0,0
2026-03-12,0,0
