date,count,uniques
2025-03-03,82,39
2025-03-04,55,34
2025-03-05,12,7
2025-03-06,54,33
2025-03-07,8,6
2025-03-08,1,1
2025-03-09,1,1
2025-03-10,2,2
2025-03-11,2,2
2025-03-12,10,8
2025-03-15,1,1
2025-03-20,18,3
2025-03-21,1,1
2025-03-24,1,1
2025-03-30,1,1
2025-03-31,1,1
2025-04-01,4,4
2025-04-09,1,1
2025-04-14,1,1
2025-04-15,2,2
2025-04-30,11,9
2025-05-03,1,1
2025-05-07,1,1
2025-05-11,1,1
2025-05-15,1,1
2025-05-22,1,1
2025-05-23,1,1
2025-05-27,1,1
2025-05-30,1,1
2025-06-01,1,1
2025-06-07,1,1
2025-06-08,2,2
2025-06-09,1,1
2025-06-14,19,15
2025-06-15,1,1
2025-06-16,3,3
