date,count,uniques
2025-10-14,22,18
2025-10-15,14,13
2025-10-16,72,34
2025-10-17,5,3
2025-10-18,7,5
2025-10-19,21,10
2025-10-20,1,1
2025-10-21,6,4
2025-10-22,1,1
2025-10-24,6,4
2025-10-25,8,6
2025-10-26,3,2
2025-10-27,1,1
2025-10-28,2,2
2025-10-29,3,2
2025-10-30,1,1
2025-10-31,1,1
2025-11-01,1,1
2025-11-03,6,2
2025-11-04,1,1
2025-11-05,5,2
2025-11-06,6,2
2025-11-07,16,1
2025-11-08,4,2
2025-11-09,9,4
2025-11-11,10,6
2025-11-12,9,5
2025-11-14,11,5
2025-11-21,1,1
2025-12-02,1,1
2025-12-18,1,1
2025-12-20,1,1
2025-12-22,1,1
2025-12-23,1,1
2025-12-24,1,1
2026-01-22,0,0
2026-01-26,0,0
2026-01-28,1,1
2026-01-29,1,1
2026-01-30,0,0
2026-01-31,0,0
2026-02-02,0,0
2026-02-03,0,0
