date,count,uniques
2025-04-01,17,12
2025-04-02,59,31
2025-04-03,9,7
2025-04-04,18,11
2025-04-05,1,1
2025-04-13,16,3
2025-04-14,3,2
2025-04-15,2,2
2025-04-20,17,14
2025-04-23,1,1
2025-04-28,1,1
2025-05-11,1,1
2025-05-15,1,1
2025-05-16,1,1
2025-05-20,1,1
2025-05-23,1,1
2025-05-27,1,1
2025-05-30,1,1
2025-06-08,1,1
2025-06-09,1,1
2025-06-14,2,2
2025-06-16,1,1
2025-07-01,1,1
2025-07-03,1,1
2025-07-04,1,1
2025-07-05,1,1
2025-07-09,2,2
2025-07-11,1,1
2025-07-24,1,1
2025-08-01,1,1
2025-08-08,2,2
2025-08-13,1,1
2025-08-23,1,1
2025-09-01,1,1
2025-09-09,1,1
2025-09-21,1,1
2025-09-25,1,1
2025-09-26,1,1
