date,count,uniques
2025-09-21,103,62
2025-09-22,1,1
2025-09-23,36,17
2025-09-24,6,4
2025-09-25,11,9
2025-09-26,1,1
2025-09-27,9,2
2025-09-28,1,1
2025-09-30,3,3
2025-10-02,1,1
2025-10-04,1,1
2025-10-05,1,1
2025-10-08,11,9
2025-10-09,1,1
2025-10-14,2,1
2025-10-15,7,3
2025-10-16,10,6
2025-10-17,2,1
2025-10-18,15,7
2025-10-19,2,1
2025-10-20,3,2
2025-10-21,2,1
2025-10-22,24,10
2025-10-24,8,4
2025-10-25,1,1
2025-10-26,2,1
2025-10-28,2,2
2025-10-29,2,2
2025-11-01,1,1
2025-11-04,6,3
2025-11-09,2,1
2025-11-14,3,1
2025-11-17,1,1
2025-11-21,1,1
2025-12-03,1,1
2025-12-06,1,1
2025-12-19,1,1
2025-12-20,1,1
2025-12-21,1,1
2025-12-26,1,1
2025-12-29,1,1
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
