date,count,uniques
2025-11-15,65,41
2025-11-16,29,20
2025-11-17,1,1
2025-11-18,43,27
2025-11-19,22,11
2025-11-20,17,10
2025-11-21,11,8
2025-11-22,1,1
2025-11-23,1,1
2025-11-29,1,1
2025-12-01,47,20
2025-12-03,41,18
2025-12-06,1,1
2025-12-13,1,1
2025-12-16,2,2
2025-12-19,1,1
2025-12-20,2,2
2025-12-21,1,1
2025-12-27,1,1
2025-12-29,2,2
2026-01-13,0,0
2026-01-20,3,3
2026-01-21,1,1
2026-01-26,1,1
2026-01-27,2,2
2026-01-28,1,1
2026-01-29,1,1
2026-01-30,1,1
2026-02-07,1,1
2026-02-11,0,0
