date,count,uniques
2025-07-07,8,8
2025-07-08,16,13
2025-07-09,31,23
2025-07-11,13,8
2025-07-12,1,1
2025-07-13,2,2
2025-07-15,3,3
2025-07-17,25,15
2025-07-19,2,2
2025-07-20,2,2
2025-07-21,1,1
2025-07-24,1,1
2025-07-27,27,20
2025-08-01,1,1
2025-08-02,1,1
2025-08-05,1,1
2025-08-07,1,1
2025-08-09,1,1
2025-08-13,1,1
2025-09-01,1,1
2025-09-05,1,1
2025-09-07,1,1
2025-09-09,1,1
2025-09-30,1,1
2025-10-02,1,1
2025-10-20,1,1
2025-10-28,1,1
2025-10-30,1,1
2025-10-31,1,1
2025-11-01,1,1
2025-11-14,1,1
2025-11-19,1,1
2025-11-21,1,1
2025-12-03,1,1
2025-12-04,1,1
2025-12-07,1,1
2025-12-13,1,1
2025-12-20,1,1
2025-12-22,2,2
2025-12-27,1,1
2025-12-29,3,3
2025-12-30,1,1
2025-12-31,0,0
2026-01-01,0,0
