date,path_1,path_1_count,path_1_uniques,path_2,path_2_count,path_2_uniques,path_3,path_3_count,path_3_uniques,path_4,path_4_count,path_4_uniques,path_5,path_5_count,path_5_uniques,path_6,path_6_count,path_6_uniques,path_7,path_7_count,path_7_uniques,path_8,path_8_count,path_8_uniques,path_9,path_9_count,path_9_uniques,path_10,path_10_count,path_10_uniques
2025-12-30,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-03,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-04,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-06,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-07,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-08,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-09,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-10,/lulunac27a/card-collection-system-javascript/issues,2,2,/lulunac27a/card-collection-system-javascript/pulls,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-11,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12,/lulunac27a/card-collection-system-javascript,1,1,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,
2026-01-13,/lulunac27a/card-collection-system-javascript,1,1,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,
2026-01-14,/lulunac27a/card-collection-system-javascript,1,1,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,
2026-01-15,/lulunac27a/card-collection-system-javascript,1,1,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,
2026-01-16,/lulunac27a/card-collection-system-javascript,1,1,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,
2026-01-17,/lulunac27a/card-collection-system-javascript,1,1,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,
2026-01-18,/lulunac27a/card-collection-system-javascript,1,1,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,
2026-01-19,/lulunac27a/card-collection-system-javascript,1,1,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,
2026-01-20,/lulunac27a/card-collection-system-javascript,2,2,/lulunac27a/card-collection-system-javascript/issues,1,1,/lulunac27a/card-collection-system-javascript/pulls,1,1,,,,,,,,,,,,,,,,,,,,,
