date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-06-12,Google,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13,Google,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-14,Google,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,Google,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,Google,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,Google,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,Google,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-19,Google,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-20,Google,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-21,Google,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-22,Google,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-23,Google,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-24,Google,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-11,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
