date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-03-08,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-09,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-10,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-12,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-13,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-15,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-17,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-18,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-19,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-20,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,Bing,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,Bing,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28,Bing,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29,Bing,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-30,Bing,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,Bing,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01,Bing,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02,Bing,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-03,Bing,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-04,Bing,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05,Bing,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-06,Bing,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-07,Bing,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-08,Bing,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-15,Google,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16,Google,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17,Google,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-18,Google,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19,Google,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,Google,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,Google,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
