date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-02-10,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-11,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-12,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-15,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-17,Bing,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-18,Bing,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-20,Bing,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-21,Bing,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-22,Bing,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-25,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-26,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-27,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-28,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-01,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-02,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-22,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-24,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-25,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-27,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-29,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-31,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
