date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2025-07-21,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-25,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-26,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-27,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-28,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-29,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-31,github.com,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-01,github.com,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-02,github.com,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03,github.com,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-04,github.com,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-05,github.com,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-06,github.com,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-07,github.com,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08,github.com,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-09,github.com,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-10,github.com,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11,github.com,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-12,github.com,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13,github.com,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-14,github.com,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15,github.com,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-16,github.com,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
