date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2025-05-01,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-02,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-03,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-04,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-06,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-09,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-10,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-11,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-13,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-10,github.com,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-11,github.com,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12,github.com,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13,github.com,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-14,github.com,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-15,github.com,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-16,github.com,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-17,github.com,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-18,github.com,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-19,github.com,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-20,github.com,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-21,github.com,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-22,github.com,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23,github.com,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-07,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-08,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-09,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-10,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-11,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-12,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-13,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-14,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-15,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
