date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2025-06-21,github.com,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-22,github.com,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23,github.com,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24,github.com,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-25,github.com,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-26,github.com,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-27,github.com,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-28,github.com,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-29,github.com,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,github.com,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-01,github.com,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-02,github.com,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03,github.com,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-04,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-05,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-06,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-07,github.com,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-08,github.com,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-09,github.com,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-10,github.com,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-11,github.com,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-12,github.com,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-13,github.com,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-14,github.com,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-15,github.com,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16,github.com,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17,github.com,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-18,github.com,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-19,github.com,5,5,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-20,github.com,3,3,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-21,github.com,2,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22,github.com,2,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23,Google,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24,github.com,2,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-25,github.com,2,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-26,github.com,3,3,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-27,github.com,4,4,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-28,github.com,4,4,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-29,github.com,7,5,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30,github.com,7,5,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-31,github.com,6,4,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-01,github.com,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-02,github.com,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
