date,count,uniques
2025-02-17,3,1
2025-02-19,2,1
2025-03-07,1,1
2025-03-13,2,2
2025-03-19,1,1
2025-04-16,1,1
2025-05-01,1,1
2025-05-17,16,2
2025-05-18,1,1
2025-05-28,1,1
2025-06-15,2,1
2025-07-16,1,1
2025-08-05,1,1
2025-08-07,2,2
2025-08-20,1,1
2025-08-25,6,1
2025-09-04,1,1
2025-09-08,6,1
2025-09-14,1,1
2025-09-25,1,1
2025-09-26,1,1
2025-10-10,2,1
2025-10-24,1,1
2025-10-28,3,2
2025-10-29,3,2
2025-11-01,1,1
2025-11-04,1,1
2025-11-05,3,3
2025-11-08,1,1
2025-11-09,3,2
2025-11-17,2,1
2025-11-18,2,1
2025-11-19,12,2
2025-11-20,1,1
2025-11-25,2,2
2025-11-26,1,1
2025-12-03,1,1
2025-12-06,1,1
2025-12-24,4,1
2025-12-28,1,1
2025-12-29,1,1
2025-12-30,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,1,1
2026-01-05,0,0
2026-01-08,0,0
2026-01-12,0,0
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,0,0
2026-01-17,0,0
2026-01-18,0,0
2026-01-19,1,1
2026-01-20,0,0
2026-01-21,1,1
