date,count,uniques
2025-02-17,8,1
2025-03-07,1,1
2025-04-27,1,1
2025-05-27,1,1
2025-06-29,1,1
2025-07-03,1,1
2025-07-04,2,2
2025-07-19,1,1
2025-07-24,1,1
2025-07-31,1,1
2025-08-02,1,1
2025-08-09,2,1
2025-08-15,1,1
2025-08-30,1,1
2025-09-14,4,2
2025-09-18,2,2
2025-09-25,1,1
2025-09-28,1,1
2025-10-06,2,2
2025-10-12,8,1
2025-10-14,1,1
2025-10-15,1,1
2025-10-20,1,1
2025-10-21,1,1
2025-10-22,1,1
2025-10-28,1,1
2025-10-31,1,1
2025-11-04,1,1
2025-12-02,2,2
2025-12-03,1,1
2025-12-12,1,1
2025-12-28,1,1
2025-12-29,0,0
2025-12-30,0,0
