date,count,uniques
2025-06-01,1,1
2025-07-04,1,1
2025-07-18,1,1
2025-07-26,1,1
2025-08-08,1,1
2025-08-27,1,1
2025-08-30,1,1
2025-09-07,2,2
2025-09-11,1,1
2025-09-30,1,1
2025-10-21,1,1
2025-11-10,1,1
2025-11-17,2,2
2025-11-19,1,1
2025-12-10,1,1
2025-12-19,1,1
2025-12-29,0,0
2025-12-30,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-04,0,0
2026-01-15,1,1
2026-01-17,0,0
2026-01-18,0,0
2026-01-19,0,0
2026-01-20,1,1
2026-01-21,0,0
2026-01-22,1,1
2026-01-23,0,0
2026-01-24,0,0
2026-01-25,0,0
2026-01-26,0,0
2026-01-27,0,0
2026-01-28,0,0
2026-01-29,0,0
2026-01-30,0,0
