date,count,uniques
2025-07-20,3,2
2025-07-30,6,1
2025-08-05,1,1
2025-08-07,2,1
2025-08-12,1,1
2025-08-19,1,1
2025-08-22,1,1
2025-08-25,2,1
2025-08-31,5,1
2025-09-05,1,1
2025-09-12,3,1
2025-09-15,1,1
2025-09-18,5,1
2025-10-06,10,2
2025-10-14,1,1
2025-10-15,1,1
2025-10-22,1,1
2025-10-27,1,1
2025-10-30,2,1
2025-11-07,3,2
2025-11-15,6,1
2025-11-19,1,1
2025-11-21,1,1
2025-11-26,2,1
2025-12-03,2,1
2025-12-19,3,2
2025-12-22,1,1
2025-12-29,0,0
2025-12-30,0,0
2026-01-02,0,0
2026-01-05,0,0
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,0,0
