date,count,uniques
2025-07-14,1,1
2025-07-28,1,1
2025-07-30,1,1
2025-07-31,3,1
2025-08-02,4,1
2025-09-02,3,1
2025-09-07,4,2
2025-09-08,2,1
2025-09-09,2,2
2025-09-10,1,1
2025-09-11,2,2
2025-09-12,2,2
2025-09-13,1,1
2025-09-14,1,1
2025-09-15,3,1
2025-09-18,1,1
2025-10-02,2,1
2025-10-05,2,2
2025-10-28,4,1
2025-10-30,6,2
2025-11-02,1,1
2025-11-03,1,1
2025-11-11,1,1
2025-11-12,5,1
2025-11-13,1,1
2025-11-14,1,1
2025-11-18,1,1
2025-11-19,3,2
2025-11-22,1,1
2025-11-24,5,1
2025-11-25,7,1
2025-11-29,7,1
2025-12-03,7,5
2025-12-04,6,2
2025-12-13,6,1
2025-12-14,1,1
2025-12-15,1,1
2025-12-16,1,1
2025-12-19,3,2
2025-12-20,1,1
2025-12-24,1,1
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,2,1
2026-01-03,0,0
2026-01-04,4,3
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,4,3
2026-01-08,0,0
2026-01-10,0,0
2026-01-12,1,1
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,0,0
2026-01-18,0,0
2026-01-19,0,0
2026-01-20,0,0
2026-01-21,0,0
