date,count,uniques
2025-02-24,2,1
2025-02-25,1,1
2025-03-07,1,1
2025-03-13,1,1
2025-03-19,1,1
2025-06-13,2,1
2025-06-16,1,1
2025-07-02,1,1
2025-07-07,6,1
2025-07-12,1,1
2025-07-25,1,1
2025-08-11,1,1
2025-09-03,2,2
2025-09-04,1,1
2025-09-09,1,1
2025-09-10,1,1
2025-09-14,1,1
2025-09-20,1,1
2025-10-02,21,21
2025-10-03,4,4
2025-10-04,1,1
2025-10-07,1,1
2025-10-08,35,35
2025-10-11,1,1
2025-10-12,2,2
2025-10-17,1,1
2025-10-20,1,1
2025-10-21,2,2
2025-10-26,1,1
2025-10-28,2,2
2025-10-29,1,1
2025-10-31,4,4
2025-11-03,1,1
2025-11-04,1,1
2025-11-06,1,1
2025-11-08,1,1
2025-11-11,1,1
2025-11-13,3,1
2025-11-14,1,1
2025-11-22,1,1
2025-11-25,10,1
